# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
1.100000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.367450536294192887e+00,5.178664073811512480e+01,2.458347879705478967e+00,-1.790707524260592987e-01,-1.495124750855861162e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.825798415999670965e+00,5.160756998568906795e+01
1.100000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.825798415999670965e+00,5.160756998568906795e+01,-4.964773538309177781e+00,-2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.861024877690493184e+00,4.960756998568906795e+01
1.200000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,6.586539397812005703e-01,-2.000000000000000000e+00,-1.105589968202896456e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.158653939781200570e+00,4.800000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.158653939781200570e+00,4.800000000000000000e+01,1.384208393105974544e+00,-2.184558509651388647e-01,-1.220104616362863936e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.542862332887175114e+00,4.778154414903485758e+01
1.200000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.542862332887175114e+00,4.778154414903485758e+01,-5.000000000000000000e+00,1.135475289401535637e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.542862332887175114e+00,4.891701943843639100e+01
1.300000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-6.691956343109852767e-01,1.696498785608822502e+00,-7.099198674657259955e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.830804365689014723e+00,5.169649878560882428e+01
1.300000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.830804365689014723e+00,5.169649878560882428e+01,2.128084206686631674e+00,2.000000000000000000e+00,-1.466583911160703524e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,7.958888572375646397e+00,5.369649878560882428e+01
1.300000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,7.958888572375646397e+00,5.369649878560882428e+01,-3.339947531724841490e+00,-1.728263815376705370e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.618941040650804908e+00,5.196823497023211758e+01
1.400000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-3.823987393596688378e-01,-6.369022794032397350e-02,-4.816202503311350913e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.117601260640331162e+00,4.993630977205967270e+01
1.400000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.117601260640331162e+00,4.993630977205967270e+01,2.340826255223625196e+00,-5.686967529408306632e-01,-1.471765847681098416e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.458427515863956359e+00,4.936761301911884203e+01
