"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
12,9,-25,2,-1,1,0,33.43056961287881,1851.570052067908
12,8,-14,2,0,3,0,37.70723573189487,1851.570052067908
12,8,-1,2,0,3,0,41.983901850910925,1851.570052067908
12,8,14,3,1,5,0,1851.570052067908,1851.570052067908
13,5,-99,4,0,0,0,2.330755969960742,7722.854638422907
13,5,-81,3,-1,-5,0,7.300569269536743,7722.854638422907
13,4,-73,2,-1,-2,0,12.270382569112744,7722.854638422907
13,3,-67,1,-3,-3,0,7722.854638422907,7722.854638422907
14,5,-99,4,-2,4,0,4.969813299576001,6214.888820611525
14,3,-77,3,-3,5,0,8.841014310483892,6214.888820611525
14,0,-59,2,0,-1,0,11.86491746100458,6214.888820611525
14,0,-52,1,0,-5,0,6214.888820611525,6214.888820611525
15,5,-99,4,0,0,0,2.330755969960742,7334.277730876433
15,5,-81,3,0,0,0,5.914274908416852,7334.277730876433
15,5,-68,2,0,-3,0,10.190941027432906,7334.277730876433
15,5,-63,1,0,-4,0,7334.277730876433,7334.277730876433
16,5,-99,4,0,0,0,2.330755969960742,5431.039129047133
16,5,-81,3,1,0,0,6.607422088976797,5431.039129047133
16,6,-66,3,-3,3,0,11.577235388552797,5431.039129047133
16,3,-50,2,0,-2,0,15.853901507568853,5431.039129047133
16,3,-44,1,2,-2,0,5431.039129047133,5431.039129047133
17,5,-99,4,2,3,0,4.969813299576001,2010.1478633753625
17,7,-76,4,2,5,0,8.55333223803211,2010.1478633753625
17,9,-51,4,-1,-5,0,13.523145537608112,2010.1478633753625
17,8,-36,4,1,-4,0,16.883520924750012,2010.1478633753625
17,9,-20,4,0,4,0,19.9074240752707,2010.1478633753625
17,9,4,4,0,0,0,22.23818004523144,2010.1478633753625
17,9,24,4,0,-1,0,2010.1478633753625,2010.1478633753625
18,5,-99,4,0,0,0,2.330755969960742,7217.353447859127
18,5,-81,3,-5,0,0,6.607422088976797,7217.353447859127
18,0,-68,2,1,-2,0,11.577235388552797,7217.353447859127
18,1,-62,1,3,1,0,7217.353447859127,7217.353447859127
19,5,-99,4,-5,0,0,3.0239031505206873,7412.095612602083
19,0,-81,3,0,-3,0,6.0478063010413745,7412.095612602083
19,0,-71,2,0,-1,0,9.07170945156206,7412.095612602083
19,0,-64,1,0,5,0,7412.095612602083,7412.095612602083
20,5,-99,4,0,1,0,4.276666119016055,1757.0947242269517
20,5,-80,3,2,-4,0,9.246479418592056,1757.0947242269517
20,7,-69,3,2,3,0,12.829998357048165,1757.0947242269517
20,9,-51,3,0,4,0,15.853901507568853,1757.0947242269517
20,9,-32,3,0,0,0,18.184657477529594,1757.0947242269517
20,9,-17,3,-3,-2,0,23.154470777105594,1757.0947242269517
20,6,-4,3,2,-4,0,28.124284076681594,1757.0947242269517
20,8,7,3,-1,3,0,33.094097376257594,1757.0947242269517
20,7,27,4,2,0,0,1757.0947242269517,1757.0947242269517
21,5,-99,4,0,5,0,4.276666119016055,6817.745525834021
21,5,-76,3,-3,-3,0,9.246479418592056,6817.745525834021
21,2,-66,2,-1,0,0,13.523145537608112,6817.745525834021
21,1,-58,1,-1,2,0,6817.745525834021,6817.745525834021
22,5,-99,4,-5,5,0,4.969813299576001,4979.67117594659
22,0,-76,3,0,1,0,7.993716450096688,4979.67117594659
22,0,-62,2,4,-4,0,12.963529749672688,4979.67117594659
22,4,-58,1,5,0,0,17.240195868688744,4979.67117594659
22,9,-53,1,0,-5,0,20.264099019209432,4979.67117594659
22,9,-53,1,-3,4,0,25.233912318785432,4979.67117594659
22,6,-44,1,0,0,0,28.81743125724154,4979.67117594659
22,6,-39,1,-4,-1,0,4979.67117594659,4979.67117594659
