# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
1.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,8.483052915291633411e-02,2.000000000000000000e+00,-1.311271366405118322e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.584830529152916334e+00,5.200000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.584830529152916334e+00,5.200000000000000000e+01,2.253376777404123565e+00,1.074443908288595040e+00,-1.698404849083438695e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.838207306557039900e+00,5.307444390828859326e+01
1.100000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.838207306557039900e+00,5.307444390828859326e+01,-2.345405149094809794e+00,2.000000000000000000e+00,-1.053134135215868082e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,6.492802157462230106e+00,5.507444390828859326e+01
1.200000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,3.272598604864906946e-01,2.333836380200420280e-01,-1.138732012367826396e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.827259860486490695e+00,5.023338363802004380e+01
1.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.827259860486490695e+00,5.023338363802004380e+01,2.231755551784322833e+00,5.160885525789851158e-01,-1.675198613485346266e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.059015412270813528e+00,5.074947219059902892e+01
1.200000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.059015412270813528e+00,5.074947219059902892e+01,-4.999033888973646533e+00,-3.657910700203772514e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.059981523297166994e+00,5.038368112057865034e+01
1.300000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.338039420920896561e-01,2.000000000000000000e+00,-1.342827965730833073e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.733803942092089656e+00,5.200000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.733803942092089656e+00,5.200000000000000000e+01,3.159472360557634474e+00,2.000000000000000000e+00,-1.908059626444339463e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.893276302649724130e+00,5.400000000000000000e+01
1.300000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.893276302649724130e+00,5.400000000000000000e+01,-5.000000000000000000e+00,1.930284103491963332e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.893276302649724130e+00,5.593028410349196378e+01
1.400000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,6.802913965121382134e-01,2.000000000000000000e+00,-1.438723468932442850e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.180291396512138213e+00,5.200000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.180291396512138213e+00,5.200000000000000000e+01,1.842681194714787196e+00,-3.910208625955087225e-01,-1.585053333670534581e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.022972591226924521e+00,5.160897913740448928e+01
1.400000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.022972591226924521e+00,5.160897913740448928e+01,-5.000000000000000000e+00,-2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.022972591226924521e+00,4.960897913740448928e+01
1.500000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,7.527164866055313652e-01,2.000000000000000000e+00,-1.454234601245534053e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.252716486605531365e+00,5.200000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.252716486605531365e+00,5.200000000000000000e+01,1.596850584640603365e+00,3.949039238079570246e-01,-1.525550592664665750e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.849567071246134731e+00,5.239490392380795925e+01
1.500000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.849567071246134731e+00,5.239490392380795925e+01,-4.889815149515236214e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.959751921730898516e+00,5.439490392380795925e+01
1.600000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.591165111028619350e-01,-2.113212717644437078e-01,-1.112586064880892733e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.759116511102861935e+00,4.978867872823555274e+01
1.600000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.759116511102861935e+00,4.978867872823555274e+01,2.046462830073973116e+00,1.977557403834744765e+00,-1.713364060688357116e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.805579341176834163e+00,5.176623613207029706e+01
1.600000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.805579341176834163e+00,5.176623613207029706e+01,-4.661680441678207387e+00,-2.454825112155998301e-01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.143898899498626776e+00,5.152075362085469834e+01
1.700000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.723385087533731763e-01,2.000000000000000000e+00,-1.351058550855680496e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.772338508753373176e+00,5.200000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.772338508753373176e+00,5.200000000000000000e+01,1.549985640399614617e+00,1.907261481081883758e+00,-1.610458312708997530e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.322324149152986905e+00,5.390726148108188198e+01
1.700000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.322324149152986905e+00,5.390726148108188198e+01,-3.377009598966147497e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.945314550186839853e+00,5.590726148108188198e+01
1.800000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,1.172182331264284727e+00,2.000000000000000000e+00,-1.542668960358037689e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.672182331264284727e+00,5.200000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.672182331264284727e+00,5.200000000000000000e+01,6.266131337209639440e-01,2.000000000000000000e+00,-1.427199720418658613e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.298795464985248671e+00,5.400000000000000000e+01
1.800000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.298795464985248671e+00,5.400000000000000000e+01,-3.896970744035421319e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.401824720949827352e+00,5.600000000000000000e+01
1.900000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,4.486265710125998396e-01,2.000000000000000000e+00,-1.388905586529068703e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.948626571012599840e+00,5.200000000000000000e+01
